genus,species,ID,specimen,year,latitude,longitude,X28mVampl,X44mVampl,X15Nair,p13C,N,C,CN,A13c,Aco2,wue,delta,ci_ca,ci,mat,map,X25lflt_g_mean,X25lflt_cm2_mean,SLA,Leaflets,lifehistory,rangesize,deciduousness,tip_assignment,,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Dalea,candida,3,M Lavin s.n.,2020,45.908515,-109.777778,4374,5927,-0.97,-26.4,2.2,36.16,16.43636364,-8.28,415.75,96.44871851,18.61133936,0.628820326,261.4320504,68,395,0.00276,0.20903184,75.736174,4,2,2.13E+12,1,Dalea_candida_95,,253,135,71,1463,339,151,188,265,240,269,233,837,196,2,107,568,9,308,31
Dalea,candida,3,M Lavin s.n.,2020,45.908515,-109.777778,4741,6397,-0.96,-26.3,2.33,39.5,16.9527897,-8.28,415.75,97.65150121,18.50672692,0.624191457,259.5075981,68,395,0.00276,0.20903184,75.736174,4,2,2.13E+12,1,Dalea_candida_95,,253,135,71,1463,339,151,188,265,240,269,233,837,196,2,107,568,9,308,31
Dalea,mollis,205,sew 1736,2022,26.4213,-112.68653,5461,7324,-2.63,-27.54,3.07,46.25,15.06514658,-9,423.14,92.85381915,19.06505152,0.648896085,274.5738894,,,0.001291667,0.057,44.12902087,6,1,5.81E+11,1,Dalea_mollis_16,,201,142,66,1592,303,90,213,211,192,219,178,712,165,2,104,472,8,290,33
Dalea,mollis,,SEW 1732,2022,26.342296,-111.860716,3965,6540,-2.21,-26.51,2.47,44.44,17.99190283,-9,423.14,105.4710282,17.98683089,0.601187207,254.3863549,,,0.00129,0.092,71.31782946,6,1,5.81E+11,1,Dalea_mollis_16,,201,142,66,1592,303,90,213,211,192,219,178,712,165,2,104,472,8,290,33
Dalea,mollis,195,sew 1715,2022,29.21108,-114.14712,5068,5373,-1.71,-27.67,4.12,45.72,11.09708738,-9,423.14,91.25945605,19.20129997,0.654924777,277.1248703,,,0.00104,0.065,62.5,6,1,5.81E+11,1,Dalea_mollis_16,,195,151,64,1937,307,74,233,212,187,216,166,726,160,4,92,423,15,337,55
Dalea,mollis,6,SEW 1567,2020,27.160833,-112.143889,6774,6640,-1.65,-26.9,3.38,43.32,12.81656805,-8.84,414.25,96.69754746,18.55924365,0.626515206,259.5339241,,,0.000564,0.049290224,87.394014,6,1,5.81E+11,1,Dalea_mollis_16,,185,121,59,2653,284,79,205,205,157,213,148,2563,478,54,76,1333,186,940,196
Dalea,mollis,6,SEW 1567,2020,27.160833,-112.143889,7027,6653,-1.59,-26.9,3.32,41.15,12.39457831,-8.84,414.25,96.69754746,18.55924365,0.626515206,259.5339241,,,0.000564,0.049290224,87.394014,6,1,5.81E+11,1,Dalea_mollis_16,,194,148,62,2198,310,74,236,213,188,218,162,717,181,5,108,463,18,355,29
Dalea,mollis,195,sew 1715,2022,26.342296,-111.860716,5792,5816,-1.09,-26.89,4.4,47.68,10.83636364,-9,423.14,100.8192448,18.38435531,0.618776784,261.8292083,,,0.00104,0.065,62.5,6,1,5.81E+11,1,Dalea_mollis_16,,202,154,66,2155,312,81,231,221,188,224,171,1095,251,9,100,687,33,656,68
Dalea,mollis,308,SEW 1757,2022,27.50943,-114.32548,3924,7012,2.42,-25.99,2.2,44.25,20.11363636,-9,423.14,111.8307445,17.44335274,0.577139502,244.2108087,,,0.00068,0.038,55.88235294,6,1,5.81E+11,1,Dalea_mollis_16,,162,139,64,1896,269,54,215,176,152,184,135,1212,306,5,103,771,28,530,72
Dalea,pogonanthera,43,Jones s.n.,1930,29.366321,-100.894014,5713,6412,0.3,-25.24,2.89,43.5,15.05190311,-6.72,305,67.48168349,18.99954861,0.645997726,197.0293064,,,0.0013,0.04903216,37.71704615,3,2,1.73E+11,2,Dalea_pogonanthera_226,,162,139,64,1896,269,54,215,176,152,184,135,1212,306,5,103,771,28,530,72
